10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
10,(10, 0)
4,(4, 1)
4,(4, 1)
4,(4, 1)
4,(4, 1)
4,(4, 2)
5,(5, 3)
5,(5, 3)
5,(5, 3)
16,(16, 4)
16,(16, 4)
16,(16, 4)
16,(16, 4)
16,(16, 4)
16,(16, 4)
16,(16, 4)
16,(16, 4)
16,(16, 4)
3,(3, 5)
3,(3, 5)
3,(3, 5)
3,(3, 5)
3,(3, 5)
3,(3, 6)
3,(3, 6)
3,(3, 6)
3,(3, 6)
3,(3, 6)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
0,(0, 7)
6,(6, 8)
6,(6, 8)
6,(6, 8)
6,(6, 9)
6,(6, 9)
6,(6, 9)
6,(6, 9)
6,(6, 9)
6,(6, 9)
6,(6, 9)
6,(6, 9)
10,(10, 10)
10,(10, 10)
10,(10, 10)
10,(10, 10)
10,(10, 10)
10,(10, 10)
10,(10, 10)
17,(17, 11)
17,(17, 11)
17,(17, 11)
17,(17, 11)
17,(17, 11)
17,(17, 11)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 12)
0,(0, 13)
0,(0, 13)
0,(0, 13)
0,(0, 13)
0,(0, 13)
0,(0, 13)
0,(0, 13)
0,(0, 13)
0,(0, 13)
4,(4, 14)
4,(4, 14)
4,(4, 14)
4,(4, 14)
4,(4, 14)
4,(4, 14)
4,(4, 14)
3,(3, 15)
3,(3, 15)
3,(3, 15)
3,(3, 15)
3,(3, 15)
3,(3, 16)
3,(3, 16)
3,(3, 16)
3,(3, 16)
3,(3, 16)
3,(3, 16)
3,(3, 16)
4,(4, 17)
4,(4, 17)
4,(4, 17)
4,(4, 17)
4,(4, 17)
4,(4, 17)
4,(4, 17)
12,(12, 18)
12,(12, 18)
12,(12, 18)
12,(12, 18)
12,(12, 18)
12,(12, 18)
12,(12, 18)
12,(12, 18)
6,(6, 19)
6,(6, 19)
6,(6, 19)
6,(6, 19)
6,(6, 19)
3,(3, 20)
3,(3, 20)
3,(3, 20)
3,(3, 20)
3,(3, 20)
3,(3, 20)
3,(3, 20)
3,(3, 20)
3,(3, 20)
3,(3, 20)
10,(10, 21)
10,(10, 21)
10,(10, 21)
10,(10, 21)
10,(10, 21)
10,(10, 21)
10,(10, 21)
10,(10, 21)
10,(10, 21)
10,(10, 21)
17,(17, 22)
17,(17, 22)
17,(17, 22)
17,(17, 22)
17,(17, 22)
17,(17, 22)
17,(17, 22)
17,(17, 22)
17,(17, 22)
17,(17, 22)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
14,(14, 23)
18,(18, 24)
18,(18, 24)
18,(18, 24)
18,(18, 24)
18,(18, 24)
18,(18, 24)
3,(3, 25)
3,(3, 25)
3,(3, 25)
3,(3, 25)
3,(3, 25)
3,(3, 25)
18,(18, 26)
18,(18, 26)
18,(18, 26)
18,(18, 26)
18,(18, 26)
18,(18, 26)
18,(18, 26)
18,(18, 26)
18,(18, 26)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
13,(13, 27)
14,(14, 28)
14,(14, 28)
14,(14, 28)
14,(14, 28)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 29)
14,(14, 30)
14,(14, 30)
14,(14, 30)
14,(14, 30)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
14,(14, 31)
